WONUM,SITEID,DESCRIPTION,PROBLEMCODE,FAILURECODE,WORKTYPE,AI_USEFORTRAINING
WO_TRAIN50,BEDFORD,"Monitored parameter exceeding limits, e.g. High/low alarm",PDE,CE,CM,1
WO_TRAIN51,BEDFORD,Adjust alarm setting on protection device,PDE,CE,CM,1
WO_TRAIN52,BEDFORD,Parameter out of range adjusted setting,PDE,CE,CM,1
WO_TRAIN53,BEDFORD,High pressure warning not operating,PDE,CE,CM,1
WO_TRAIN54,BEDFORD,Investigate parameter deviation,PDE,CE,CM,1
WO_TRAIN55,BEDFORD,Check high high alarm,PDE,CE,CM,1
WO_TRAIN56,BEDFORD,Replace faulty high pressure alarm switch,PDE,CE,CM,1
WO_TRAIN57,BEDFORD,Operations reported false low pressure alarm. Investigated and replaced sensor,PDE,CE,CM,1
WO_TRAIN58,BEDFORD,Oil pressure reading high. Requires calibration,PDE,CE,CM,1
WO_TRAIN59,BEDFORD,Low pressure gauge reading incorrectly,PDE,CE,CM,1
WO_TRAIN60,BEDFORD,"Material damages (cracks, wear, fracture, corrosion)",STD,CE,CM,1
WO_TRAIN61,BEDFORD,Visible crack on damaged component needs repair,STD,CE,CM,1
WO_TRAIN62,BEDFORD,Deformed structure investigated and repaired,STD,CE,CM,1
WO_TRAIN63,BEDFORD,Inspect cracks and repair as required,STD,CE,CM,1
WO_TRAIN64,BEDFORD,Damaged mechanism found to be deformed and replaced,STD,CE,CM,1
WO_TRAIN65,BEDFORD,Inspect structural damage for craking and deformation,STD,CE,CM,1
WO_TRAIN66,BEDFORD,Corrosion found in structural component requires repair,STD,CE,CM,1
WO_TRAIN67,BEDFORD,Repair fractured support structure and carry out non destructuve test,STD,CE,CM,1
WO_TRAIN68,BEDFORD,Damage identifed after inspection of structure,STD,CE,CM,1
WO_TRAIN69,BEDFORD,Inspect for corrosion. Multiple defects identified,STD,CE,CM,1
WO_TRAIN70,BEDFORD,External leak is overved and the source of the leak is visible,ELK,CE,CM,1
WO_TRAIN71,BEDFORD,Replace leaking component,ELK,CE,CM,1
WO_TRAIN72,BEDFORD,Investigated leak and repaired leaking component,ELK,CE,CM,1
WO_TRAIN73,BEDFORD,Observed leaking fluid and replaced seal,ELK,CE,CM,1
WO_TRAIN74,BEDFORD,Minor leak requires investigation,ELK,CE,CM,1
WO_TRAIN75,BEDFORD,Damaged equipment is causing a leak,ELK,CE,CM,1
WO_TRAIN76,BEDFORD,Replaced part to eliminate visible leak,ELK,CE,CM,1
WO_TRAIN77,BEDFORD,Spill on floor. Clean up and investigate source,ELK,CE,CM,1
WO_TRAIN78,BEDFORD,Fluid on the ground. Suspect external leak,ELK,CE,CM,1
WO_TRAIN79,BEDFORD,Equipment leaking onto the floor. Clean and repair,ELK,CE,CM,1
WO_TRAIN80,BEDFORD,"Fix power or signal failure, or software related faillure",PTF,CE,CM,1
WO_TRAIN81,BEDFORD,Investigate intermittent transmitter output signal,PTF,CE,CM,1
WO_TRAIN82,BEDFORD,Damaged power supply cable needs replacement,PTF,CE,CM,1
WO_TRAIN83,BEDFORD,Signal failure warning requires investigation,PTF,CE,CM,1
WO_TRAIN84,BEDFORD,Loss of signal from control unit replaced transmitter,PTF,CE,CM,1
WO_TRAIN85,BEDFORD,Fault finding of power supply failure and placed faulty PSU,PTF,CE,CM,1
WO_TRAIN86,BEDFORD,Damaged wiring in low voltage distribution system needs replacement,PTF,CE,CM,1
WO_TRAIN87,BEDFORD,Intermitment signal. Faulty wiring found and replaced,PTF,CE,CM,1
WO_TRAIN88,BEDFORD,Loose connector on terminal tightened,PTF,CE,CM,1
WO_TRAIN89,BEDFORD,Wiring damage in control room. Replaced with new cable,PTF,CE,CM,1
